game_id,task_type,baseline_termination_reason,baseline_env_steps,baseline_invalid_actions,baseline_parse_failures
look_at_obj_in_light-Book-None-DeskLamp-308/trial_T20190908_020029_636862,look_at_obj_in_light,thought_loop,28,3,9
look_at_obj_in_light-Book-None-DeskLamp-308/trial_T20190908_020048_814402,look_at_obj_in_light,thought_loop,35,18,0
look_at_obj_in_light-Book-None-DeskLamp-308/trial_T20190908_144951_587345,look_at_obj_in_light,parse_failure_loop,12,0,15
look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133919_856963,look_at_obj_in_light,thought_loop,28,11,3
look_at_obj_in_light-Bowl-None-DeskLamp-308/trial_T20190907_133935_066606,look_at_obj_in_light,thought_loop,39,14,0
look_at_obj_in_light-Mug-None-DeskLamp-308/trial_T20190908_201444_037645,look_at_obj_in_light,thought_loop,27,8,0
pick_clean_then_place_in_recep-Cloth-None-Cabinet-424/trial_T20190908_022321_380927,pick_clean_then_place_in_recep,parse_failure_loop,7,1,8
pick_cool_then_place_in_recep-Tomato-None-Microwave-10/trial_T20190909_102608_318800,pick_cool_then_place_in_recep,thought_loop,33,7,0
pick_two_obj_and_place-Pillow-None-Sofa-219/trial_T20190907_163327_486300,pick_two_obj_and_place,parse_failure_loop,16,1,8
