experiment,display_name_zh,direction_zh,group,hypothesis,seeds,runs,successes,success_rate_mean,success_rate_std,avg_env_steps_mean,avg_env_steps_std,avg_success_env_steps_mean,avg_success_env_steps_std,avg_agent_turns_mean,avg_agent_turns_std,avg_llm_calls_mean,avg_llm_calls_std,invalid_action_rate_mean,invalid_action_rate_std,parse_failure_rate_mean,parse_failure_rate_std,repeated_action_rate_mean,repeated_action_rate_std,avg_prompt_tokens_mean,avg_prompt_tokens_std,avg_completion_tokens_mean,avg_completion_tokens_std,avg_total_tokens_mean,avg_total_tokens_std
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,fewshot,移除示例会降低成功率，并增加任务协议与输出格式错误。,"0,1,2",3,"8,8,9",0.06218905472636816,0.0043085840984300435,12.345771144278606,0.3607908608819085,15.574074074074074,1.7763304293511057,26.101990049751244,0.6727326685508607,26.101990049751244,0.6727326685508607,0.588084040189983,0.0073903902764924445,0.33883472029406897,0.012588654082839563,0.29802108613141604,0.011367712718496539,14449.348258706468,1317.0073282435494,292.5323383084577,9.870021094357362,14741.880597014926,1325.0379007638544
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,history,动态摘要会恢复部分窗口截断造成的损失，但会增加模型调用并带来记忆失真风险。,"0,1,2",3,"91,92,87",0.6716417910447761,0.01974441276913873,16.898009950248756,0.6140450395623457,11.680796506508651,0.38140136246646006,23.03233830845771,0.8638791701467002,35.64427860696517,1.7197458544263866,0.1908301856485076,0.0019343663800671055,0.09466302687650022,0.008963705936931464,0.08976160821662352,0.0059488294306873244,41995.39303482587,1638.4947119376804,315.71144278606965,30.089539591227695,42311.104477611945,1661.8484651155488
