experiment,display_name_zh,direction_zh,group,hypothesis,seeds,runs,successes,success_rate_mean,success_rate_std,avg_env_steps_mean,avg_env_steps_std,avg_success_env_steps_mean,avg_success_env_steps_std,avg_agent_turns_mean,avg_agent_turns_std,avg_llm_calls_mean,avg_llm_calls_std,invalid_action_rate_mean,invalid_action_rate_std,parse_failure_rate_mean,parse_failure_rate_std,repeated_action_rate_mean,repeated_action_rate_std,avg_prompt_tokens_mean,avg_prompt_tokens_std,avg_completion_tokens_mean,avg_completion_tokens_std,avg_total_tokens_mean,avg_total_tokens_std
baseline,公共基线：ReAct + 任务匹配 2-shot,公共基线,baseline,任务类型匹配的 2-shot ReAct 配合完整历史，作为所有消融实验的公共对照。,"0,1,2",3,"91,90,90",0.6741293532338308,0.0043085840984299914,17.11940298507463,0.5712246636793917,13.56927146927147,0.36031235726029376,25.54228855721393,0.8472477598758754,25.54228855721393,0.8472477598758754,0.3247943321326474,0.021641119325200044,0.07053556583888504,0.01423099367759003,0.23222220014767792,0.023233728560975275,54642.74378109453,4148.334958142384,410.0,53.89594553374688,55052.74378109453,4201.955032399157
act_only,方向1 推理策略：Act-only,方向1：推理策略,reasoning,Act-only 会减少 token 消耗，但在需要多步规划的任务上成功率会下降。,"0,1,2",3,"70,70,68",0.5174129353233831,0.008617168196860047,9.082089552238806,0.12285132562055483,10.092997198879551,0.15293271131188785,12.96766169154229,0.21542920492150186,12.96766169154229,0.21542920492150186,0.12435984571355696,0.00200200073329239,0.29961176433146725,0.0021651163516363805,0.05341649023662835,0.0007169769366937505,18114.621890547263,343.1128782526842,78.91044776119402,1.0221156625901897,18193.532338308458,344.1339084328133
cot_then_act,方向1 推理策略：CoT-then-Act,方向1：推理策略,reasoning,一次性初始规划会优于 Act-only，但仍弱于能根据反馈调整的 ReAct。,"0,1,2",3,"67,64,66",0.4900497512437811,0.011399442027253336,13.940298507462686,0.64976819555344,13.523926296547565,1.0620401983318746,18.333333333333332,0.399817103801432,19.333333333333332,0.399817103801432,0.28200607761887203,0.03539480099392166,0.23988879726904527,0.019268821595629107,0.18180737433239744,0.03572727747089786,30035.584577114427,617.3441263558192,236.40796019900498,15.453820884691925,30271.992537313432,615.8171578825371
random_nonmatching_2shot,方向2 Few-shot：随机非匹配 2-shot,方向2：Few-shot 数量与匹配,fewshot,随机选择的非匹配 2-shot 示例会弱于任务类型匹配的示例。,"0,1,2",3,"51,52,53",0.3880597014925373,0.007462686567164173,17.935323383084576,0.21322050461790698,11.651486477513114,0.9471337778248318,31.870646766169155,0.09390341337401338,31.870646766169155,0.09390341337401338,0.3074645479529581,0.0037388152365482935,0.10693668874423208,0.005842424375639389,0.20077770679049906,0.00714118293383452,76065.25373134328,970.5362093675205,574.6119402985074,24.46280950311966,76639.86567164179,991.2694326770842
mixed_6shot,方向2 Few-shot：六类混合 6-shot,方向2：Few-shot 数量与匹配,fewshot,由于无关示例占用上下文，六类混合示例不会随数量增加而单调提升性能。,"0,1,2",3,"73,72,74",0.5447761194029851,0.007462686567164201,13.666666666666666,0.21581662912182994,12.086451177204601,0.0753909151104199,22.412935323383085,0.9085290932269423,22.412935323383085,0.9085290932269423,0.1634219768879206,0.00849760941552535,0.15046959412609104,0.01730809064345394,0.05169328238645178,0.005768169607510614,111331.97263681592,5393.8554981017605,293.34328358208955,22.794476522757357,111625.315920398,5412.197691479483
zero_shot,方向2 Few-shot：0-shot,方向2：Few-shot 数量与匹配,fewshot,移除示例会降低成功率，并增加任务协议与输出格式错误。,"0,1,2",3,"8,8,9",0.06218905472636816,0.0043085840984300435,12.345771144278606,0.3607908608819085,15.574074074074074,1.7763304293511057,26.101990049751244,0.6727326685508607,26.101990049751244,0.6727326685508607,0.588084040189983,0.0073903902764924445,0.33883472029406897,0.012588654082839563,0.29802108613141604,0.011367712718496539,14449.348258706468,1317.0073282435494,292.5323383084577,9.870021094357362,14741.880597014926,1325.0379007638544
summary_10,方向6 轨迹压缩：摘要 + 最近 10 turns,方向6：轨迹压缩,history,动态摘要会恢复部分窗口截断造成的损失，但会增加模型调用并带来记忆失真风险。,"0,1,2",3,"91,92,87",0.6716417910447761,0.01974441276913873,16.898009950248756,0.6140450395623457,11.680796506508651,0.38140136246646006,23.03233830845771,0.8638791701467002,35.64427860696517,1.7197458544263866,0.1908301856485076,0.0019343663800671055,0.09466302687650022,0.008963705936931464,0.08976160821662352,0.0059488294306873244,41995.39303482587,1638.4947119376804,315.71144278606965,30.089539591227695,42311.104477611945,1661.8484651155488
